Key;Type;Desc;English;Spanish;Italian;;;
Quote2;Text;Description (optional);A conscious person talks with absolute dignity and absolute faith. Never ever, never ever say things against any human form, even unconsciously, because that is a slander of the divine, against what God manufactured. - KRI Conscious Communication manual|Yogi Bhajan|;Una persona consciente habla con dignidad y fe absolutas. Nunca, nunca jamas digas cosas en contra de otro ser humano, ni siquiera de manera inconsciente, porque esa es una agresión en contra de la divinidad y en contra de lo que Dios ha fabricado. - KRI Manual de Comunicacion Consciente|Yogi Bhajan|;Una persona cosciente parla con assoluta dignità e fede assoluta. Mai e poi mai, mai e poi mai dire cose contro ogni forma umana, anche inconsciamente, perché questa è una calunnia del divino, contro ciò che Dio ha realizzato. - Manuale di Comunicazione Consapevole KRI|Yogi Bhajan|;;;
Quote3;Text;Description (optional);You have to have stamina as people, as human beings, as graceful people, so that you can stand. And what is the stamina? When you can stand against every eventuality.|Yogi Bhajan|26833;Deben de tener aguante como personas, como seres humanos, como gente de gracia, para entonces poder erguirse. ¿Y que es el aguante? Es cuando puedes permanecer erguido ante de toda eventualidad. |Yogi Bhajan|26833;Voi dovete avere capacità di resistenza come persone, come esseri umani, come persone piene di grazia, in modo che possiate rimanere in piedi. E cos’è questa resistenza? Quando riuscite a rimanere in piedi di fronte a ogni eventualità. |Yogi Bhajan|26833;;;
Quote4;Text;Description (optional);Meditation is for yourself. Meditation is not for somebody else. When you come for sadhana, you come for yourself. When you pray, you pray for yourself.  |Yogi Bhajan| 7/15/82;La meditación la haces para ti. La meditación no se hace para alguien mas. Cuando vienes a Sadhana, lo haces para ti mismo. Cuando rezas, también lo estas haciendo por ti.|Yogi Bhajan| 7/15/82;La meditazione è per voi stessi. La meditazione non è per qualcun altro. Quando venite a praticare la sadhana, venite per voi stessi. Quando pregate, pregate per voi stessi. |Yogi Bhajan| 7/15/82;;;
Quote5;Text;Description (optional);A candle may have wax and threads, but if it is not lit, it does not take away the darkness. |Yogi Bhajan|36214;Una vela podrá tener cera y mecha, pero si no esta encendida, no podrá alejar a la oscuridad.|Yogi Bhajan|36214;Una candela può avere cera e stoppino, ma se non è accesa, non annulla l'oscurità. |Yogi Bhajan|36214;;;
Quote6;Text;Description (optional);You have five elements of you: ether, air, fire, water, earth. And these five have five juices: lust, anger, greed, pride, and attachment. Wherever your mind is not creative and it is not supported by your intuition, you cannot be free. |Yogi Bhajan|33127;Hay en ti cinco elementos: éter, aire, fuego, agua y tierra. Y estos tienen a su vez cinco jugos: deseo, enojo, avaricia, orgullo y apego. Cada vez que tu mente no este siendo creativa y que no sea apoyada por tu intuición, no podrás ser libre.|Yogi Bhajan|33127;Avete cinque elementi in voi: etere, aria, fuoco, acqua e terra. E questi cinque hanno cinque carburanti: lussuria, ira, avidità, orgoglio e attaccamento. Ogni qual volta la vostra mente non è creativa e non è supportata dal vostro intuito, voi non potete essere liberi. |Yogi Bhajan|33127;;;
Quote7;Text;Description (optional);Inhale deeply with reverence, love, compassion, and kindness. Communicate with your breath that it must give you peace of mind, peace on the mother planet Earth, peace and oneness with God and His creation. |Yogi Bhajan|33737;Inhala profundamente con reverencia, amor, compasión y bondad. Comunica a tu respiración que debe de brindarte paz mental, paz al Planeta Madre Tierra, paz y unión entre Dios y Su creación.|Yogi Bhajan|33737;Inspirate profondamente con rispetto, amore, compassione e gentilezza. Comunicate al vostro respiro che deve donarvi la pace della mente, la pace sul pianeta della Madre Terra, pace e unione con Dio e con la Sua creazione.|Yogi Bhajan|33737;;;
Quote8;Text;Description (optional);May God guide you on this path. May you understand that you are blessed children and you have a job to do. May you know in your heart that God belongs to you always, within and without. |Yogi Bhajan|34140;"Que Dios los guíe en este camino. Que logren comprender que son sus hijos benditos, y que tienen una tarea por realizar. Que tengan en su corazón la certeza de que Dios esta siempre con ustedes, por dentro y por fuera.
|Yogi Bhajan|34140";Possa Dio guidarvi su questo cammino. Possiate voi capire che siete figli benedetti e avete un lavoro da fare. Possiate voi sapere nel vostro cuore che Dio vi appartiene sempre, dentro e fuori.|Yogi Bhajan|34140;;;
Quote9;Text;Description (optional);We run around for earthly positions and earthly environments. Have you ever understood that if you just run to God, who has created the Earth, everything on the Earth will be yours? Can you do it by love? No. Can you do it by belief? No. You have to trust it. You have to trust you are God, that God is you, in God you dwell, and in God you trust.|Yogi Bhajan|32787;Corremos siempre tras posiciones y ambitos terrenales. ¿Alguna vez has pensado que si simplemente corres hacia Dios, que ha creado la Tierra, entonces todo lo que hay en ella será tuyo? ¿Puedes hacerlo por amor? No. ¿Puedes hacerlo por fe? Tampoco. Tienes que confiar. Tienes que confiar en que tu eres Dios, que Dios eres tu, que en Dios moras, y que en dios confías.|Yogi Bhajan|32787;Noi ci affanniamo per posizioni terrene e ambienti terreni. Avete mai capito che se semplicemente correte verso Dio, che ha creato la Terra, tutto sulla Terra sarà vostro? Potete farlo per amore? No. Potete farlo per credo? No. Dovete avere fiducia. Dovete fidarvi del fatto che voi siete Dio, che Dio è voi, voi dimorate in Dio e vi fidate di Dio. |Yogi Bhajan|32787;;;
Quote10;Text;Description (optional);When you get up in the morning, and you open your eyes, and you breathe consciously, if you have not thanked yet, you have lost the greatest opportunity of the right to live. |Yogi Bhajan|31953;"Si al despertarte por la mañana, cuando has abierto tus ojos y respirado conscientemente, no has dado gracias, habrás perdido la oportunidad mas grande  del derecho de vivir.
|Yogi Bhajan|31953";Quando vi alzate al mattino, aprite gli occhi e respirate consapevolmente, se non avete ancora ringraziato, avete perso la più grande opportunità del diritto di vivere. |Yogi Bhajan|31953;;;
Quote11;Text;Description (optional);In our ‘micro-consciousness’ we have to be pure, so we can build a ‘macro-consciousness’ that should just be a constant flood of purity. Let us decide once and for all that love is the essence of life.|Yogi Bhajan|37465;Debemos de ser puros dentro de nuestra 'micro-consciencia' para poder construir una 'macro-consciencia' que sea un constante flujo de pureza. Decidamos de una vez por todas que el amor es la esencia de la vida.|Yogi Bhajan|37465;"Nella nostra ""micro-coscienza"" dobbiamo essere puri, in modo da poter costruire una ""macro-coscienza"" che dovrebbe essere semplicemente un flusso costante di purezza. Decidiamo una volta per tutte che l'amore è l'essenza della vita. |Yogi Bhajan|37465";;;
Quote12;Text;Description (optional);Seva or service is infinite giving. When I am honored in my consciousness for doing something, it is seva. When I stand before my consciousness, I feel good, and I say, ‘Well, I am so blessed that I could do it.’ That’s seva.|Yogi Bhajan|28693;El Seva o servicio es dar infinitamente. Cuando en mi consciencia  se me honra por haber hecho algo, eso es seva. Cuando me encuentro ante a mi consciencia, me siento bien, y digo, “Bueno, estoy tan bendecido que podría hacerlo.” Eso es seva. |Yogi Bhajan|28693;"Il seva, o servizio, è donare all'infinito. Quando sono onorato nella mia coscienza di fare qualcosa, è seva. Quando mi trovo davanti la mia coscienza, mi sento bene e dico, ""Sono talmente benedetto per averlo potuto fare"". Quello è seva. |Yogi Bhajan|28693";;;
Quote13;Text;Description (optional);A teacher is an artist with hammer and chisel. Whenever you meet a teacher, God, there will be a spark. At the first introduction of you and your Teacher, you are going to find what is wrong with you. Mostly you will not like to hear that. You’ll skip that person. You are most welcome to skip it, but you do not know that you have lost that one chance which the soul was promised. |Yogi Bhajan|35275;Un maestro es un artista con martillo y cincel. Siempre que te encuentres con un maestro, Dios, habrá una chispa. Desde tu primer encuentro con tu maestro sabrás lo que no anda bien en ti, aunque probablemente no te guste escucharlo. Evitaras a esa persona. Y puedes evitarla, pero al hacerlo no sabrás que has perdido la oportunidad prometida del alma.|Yogi Bhajan|35275;Un insegnante è un artista con martello e scalpello. Ogni volta che voi incontrate un insegnante, Dio, ci sarà una scintilla. Al primo incontro tra voi e il vostro Insegnante, scoprirete ciò che è sbagliato in voi. Per lo più non vi piacerà sentirlo. Eviterete quella persona. Voi siete totalmente liberi di evitarla, ma non sapete che così facendo avrete perso quell'opportunità che era stata promessa all'anima. |Yogi Bhajan|35275;;;
Quote14;Text;Description (optional);The real game is for you to make your mind follow you, so you can become a sage. If you choose instead to follow your mind, it will make you crazy and weak. In this game, mastery is the goal and your main enemy is stress. When you are under stress you begin to lose your mind slowly, to a very polite degree. Your mind starts to wander on its own. It looks elsewhere for shelter and hope. It looks into your subconscious and pulls out of it every memory and every fragment of intentions and actions left incomplete in your life. You begin to live in the past. You do not act in the present but according to overlays from your past. -The Mind|Yogi Bhajan|The Mind;"El verdadero juego consiste en que logres hacer que tu mente te siga para que puedas convertirte en un sabio. Si por el contrario decides ser tu quien sigue a tu mente, te volverá loco y te debilitará. La finalidad de este juego es la maestría y tu enemigo principal es el estrés. Cuando te estresas comienzas a perder poco a poco la cabeza, a un nivel cortes, tu mente comienza a divagar, sola, y buscara asilo y esperanza en otro lugar. Buscara dentro de tu subconsciente y extraerá de el cada recuerdo y cada fragmento de las intenciones y acciones que hayan quedado incompletas en tu vida. Comenzaras entonces a vivir en el pasado. Actuaras en acuerdo con las capas del pasado, no actuaras en el presente.- La Mente
|Yogi Bhajan|The Mind";"Il vero gioco è fare in modo che la vostra mente vi segua, in modo da poter diventare saggi. Se al contrario voi scegliete di seguire la vostra mente, ciò vi renderà folli e deboli. In questo gioco, l'obiettivo principale è la padronanza e il vostro nemico principale è lo stress. Quando siete sotto pressione, iniziate lentamente a perdere la testa, per essere molto gentile. La vostra mente inizia a vagare da sola. Cerca altrove riparo e speranza. Essa studia il vostro subconscio e tira fuori ogni ricordo e ogni frammento d'intenzione e azione lasciate incomplete nella vostra vita. Iniziate a vivere nel passato. Non agite nel presente, ma in base alle sovrapposizioni del vostro passato. - Libro ""La Mente""|Yogi Bhajan|The Mind";;;
Quote15;Text;Description (optional);The fact of life is that man is a social animal. We need to understand that in the Infinite sense of existence, we have to exist with each other, no matter what. Love is not lost between two people if they forgive and forget, and are kind, compassionate, and caring. This will give them wealth - wealth and happiness. |Yogi Bhajan|37619;La realidad de la vida es que el hombre es un animal sociable. Necesitamos comprender que en el sentido infinito de la existencia, tenemos que existir los unos con los otros, sea como sea. El amor entre dos personas se preservara si perdonan y olvidan, si son amables, compasivas y atentas mutuamente. Esto les dará salud y felicidad.|Yogi Bhajan|37619;Il dato di fatto nella vita è che l'uomo è un animale sociale. Dobbiamo capire che nel senso infinito dell'esistenza, dobbiamo esistere uno con l'altro, a qualunque costo. L'amore non si perde tra due persone, se si perdonano e dimenticano e sono gentili, compassionevoli e attenti. Questa volontà darà loro la ricchezza - la ricchezza e la felicità.|Yogi Bhajan|37619;;;
Quote16;Text;Description (optional);Imagine thousands and thousands marching with the rhythmic vibrations and the enemy falling flat. That is what a mantra is: the power of the word.|Yogi Bhajan|31972;Imagina a miles y miles marchando con las vibraciones rítmicas haciendo que el enemigo caiga aplastado. Eso es un mantra: es el poder de la palabra. |Yogi Bhajan|31972;Immaginate migliaia e migliaia di persone che marciano seguendo vibrazioni ritmiche e il nemico che è sconfitto. Questo è un mantra: il potere della parola. 14/07/1987|Yogi Bhajan|31972;;;
Quote17;Text;Description (optional);Ang Sang Wahe Guru. In every cell of me, the great God is. Those who believe this, they don’t have to believe in anything else. Those who believe in everything else, they cannot believe in this. It’s a choice. And every human has to make it. |Yogi Bhajan|34738;"Ang Sang Wahe Guru. En cada una de mis células, el Gran Dios esta. Aquellos que así lo creen, no necesitan creer en nada mas. Aquellos que creen en todo lo demás, no pueden creer en esto. Es una opción. Y cada ser humano debe de tomar la decisión. 
|Yogi Bhajan|34738";Ang Sang Wahe Guru. In ogni mia cellula, si trova il grande Dio. Coloro che credono in questo, non devono credere in nient'altro. Coloro che credono in tutto il resto, non possono credere in questo. È una scelta. E ogni essere umano deve farla.|Yogi Bhajan|34738;;;
Quote18;Text;Description (optional);When you say you are starving, you are denying any gift, virtue, grace or attraction you command. You are becoming a personified dying misery. |Yogi Bhajan|31957;Cuando dices que estas hambriento, estas negando cualquier regalo, virtud, gracia o atracción que poseas. Te estarás convirtiendo en la personificación de la miseria moribunda. |Yogi Bhajan|31957;Quando dite che state morendo di fame, state rifiutando ogni dono, virtù, grazia o attrazione che pretendete. State diventando l'infelicità agonizzante personificata.|Yogi Bhajan|31957;;;
Quote19;Text;Description (optional);Awareness takes these nine things away from you: thinking, reason, logic, argument, fantasies, planning, scheming, knowing, and, worrying. These nine things must go before you can say that you are on the path of awareness. Do you know why? Because the One who rotates the Earth can take care of your routine. These nine things you do are unwanted. They only satisfy your ego. Where there is ego, there is no amigo. |Yogi Bhajan|35266;La consciencia aleja de ti estas nueve cosas: el pensamiento, la razón, la lógica, los argumentos, las fantasías, el planear y esquematizar, el saber y preocuparse. Estas nueve cosas deben desaparecer para que puedas decir que estas en el camino de la consciencia. ¿Sabes por que? Porque aquel que hace que la tierra gire puede cuidar de tu rutina. Estas nueves cosas que haces son innecesarias. Solo satisfacen al ego. Donde hay ego no hay amigo. |Yogi Bhajan|35266;La consapevolezza allontana da voi queste nove cose: il pensare, la ragione, la logica, il ragionamento, le fantasie, il pianificare, il complottare, il sapere e il preoccuparsi. Queste nove cose devono andare via prima di poter dire di essere sulla strada della consapevolezza. Sapete perché? Perché l’Uno che fa ruotare la Terra si può prendere cura della vostra quotidianità. Queste nove cose che fate sono indesiderate. Esse soddisfano solo il vostro ego. Dove c’è ego, non c’è amico (Yogi Bhajan usa l'assonanza in inglese tra i termini ego e amigo). |Yogi Bhajan|35266;;;
Quote20;Text;Description (optional);Under no circumstances are you required to speak negative language, and you must not communicate in a way which will be offensive. Neither should you speak in a way which should be just buttering. Speaking should be neither overdoing nor under-doing nor super-positive nor super-negative. Speaking should be straight because between two lines, the direct route is the shortest. - KRI Conscious Communication Manual|Yogi Bhajan|KRI Conscious Communication manual;Bajo ninguna circunstancia estas obligado a utilizar un lenguaje negativo, y no debes de comunicarte de manera ofensiva. Tampoco debes de hablar únicamente de manera endulzada. El hablar no debe de hacerse ni de mas ni de menos, ni super-positivo ni super-negativo. El hablar debe de ser directo porque, entre dos lineas, la linea directa es la mas corta. - KRI Manual de Comunicación Consciente.|Yogi Bhajan|KRI Conscious Communication manual;In nessun caso vi è richiesto di parlare con un linguaggio negativo e voi non dovete comunicare in modo tale da essere offensivi. Né dovreste parlare in un modo puramente adulatorio. Nel parlare non si dovrebbe né strafare né omettere, né essere ultrapositivi né ultranegativi. Il parlare dovrebbe essere diretto, perché tra le due linee, la via dritta è la più breve. - Manuale di Comunicazione Consapevole KRI|Yogi Bhajan|KRI Conscious Communication manual;;;
Quote21;Text;Description (optional);Ordinarily you say ‘Thank you.’ But do you say thank you to your parents? Do you say thank you to your neighbors? Do you say thank you to a tree, which gives you shelter? Do you say a thank you to the car, which takes you somewhere? Why not? The human birth is meant for thanking. You have enemies. Thank them. Without them you will never be alert. You will never be smart. You will never enjoy your existence. |Yogi Bhajan|34273;Comúnmente dices “Gracias”. Pero ¿Das gracias a tus padres? ¿Agradeces a tus vecinos? ¿Das gracias a un árbol que te da abrigo? ¿Agradeces a tu carro cuando te lleva a algún lugar? ¿Por que no lo haces? El ser humano nace para agradecer. Tienes enemigos. Agradéceles. Sin ellos nunca estarías alerta. Nunca serias inteligente. Nunca disfrutarías de tu existencia.|Yogi Bhajan|34273;"Di solito dite ""Grazie"". Ma dite grazie ai vostri genitori? Dite grazie ai vostri vicini? Dite grazie a un albero, che vi offre riparo? Dite grazie a un'auto, che vi porta ovunque? Perché no? La nascita umana è fatta per ringraziare. Voi avete nemici. Ringraziateli. Senza di loro non sarete mai all'erta. Non sarete mai astuti. Non godrete mai della vostra esistenza. |Yogi Bhajan|34273";;;
Quote22;Text;Description (optional);White Tantra is the science of unison which brings us from many to oneness of mind. It clears the consciousness—the blocks of the subconscious mind. It brings out the garbage and makes the individual free of the block. |Yogi Bhajan|28700;El Tantra Blanco es la ciencia del unísono que nos lleva de ser muchos, a ser una unidad mental. Aclara la consciencia – los bloqueos de la mente subconsciente. Trae a la luz la basura y deja al individuo libre de bloqueos.|Yogi Bhajan|28700;Il Tantra Bianco è la scienza dell'unisono che ci porta dalla molteplicità all'unicità della mente. Pulisce la coscienza, i blocchi della mente subconscia. Porta fuori la spazzatura e rende l'individuo libero dai blocchi. |Yogi Bhajan|28700;;;
Quote23;Text;Description (optional);In your life there will be good days and bad days, normal days and abnormal days, right days and wrong days, but you must understand that every day has to be followed by a night and every life has to end. Don’t waste your life in reactions. |Yogi Bhajan|29802;En tu vida habrá días buenos y días malos, habrá días normales y anormales, días correctos e incorrectos, pero lo que debes comprender es que a cada día le sigue forzosamente una noche y que toda vida forzosamente se acaba. No desperdicies tu vida en reacciones.|Yogi Bhajan|29802;Nella vostra vita ci saranno giorni buoni e giorni cattivi, giorni normali e giorni anormali, giorni giusti e giorni sbagliati, ma è necessario che comprendiate che ogni giorno deve essere seguito da una notte e ogni vita deve finire. Non sprecate la vostra vita nelle reazioni. |Yogi Bhajan|29802;;;
Quote24;Text;Description (optional);Deal from the point of soul: “I have a soul.” You will never have fear. Fear, pain and hurt only come to you when you are not dealing with life in the light of your soul. When you are dealing with life out of your light of ego, pain will be there. |Yogi Bhajan|30875;Lidia desde el punto del alma: «Tengo un alma.» Nunca tendrás miedo. El miedo, el dolor y la herida ocurren solamente cuando no estas lidiando con la vida desde la luz de tu alma. Cuando estas lidiando con la vida desde la luz del ego, el dolor estará ahí.|Yogi Bhajan|30875;"Affrontare tutto dal punto di vista dell'anima: ""Io ho un'anima"". Non avrete mai paura. Paura, dolore e sofferenza vengono a voi solo quando non affrontate la vita alla luce della vostra anima. Quando affrontate la vita alla luce dell'ego, il dolore sarà lì. |Yogi Bhajan|30875";;;
Quote25;Text;Description (optional);You get up in the ambrosial hours, when the sun is hitting at a sixty-degree angle, exercise and stimulate yourself, then sit and meditate for hours just to clean the subconscious. You do this so there may be some space left where more garbage can be dumped. |Yogi Bhajan|35275;Te despiertas a horas ambrosiales, cuando el sol irradia a un angulo de sesenta grados, te ejercitas y te estimulas, luego te sientas y meditas durante horas solo para limpiar el subconsciente. Haces esto para que quede algun espacio en donde se pueda tirar mas basura.|Yogi Bhajan|35275;Alzatevi all'ora dell'ambrosia, quando il sole incide con un angolo di sessanta gradi, fate esercizio e stimolatevi, poi sedete e meditate per ore proprio per pulire il subconscio. Voi lo fate così che possa esserci ancora spazio in cui più spazzatura possa essere smaltita. |Yogi Bhajan|35275;;;
Quote26;Text;Description (optional);"Goodwill is two words: good and will. Goodwill is made when you are grateful. Great and full. When you are grateful, you are successful; then your personality will have an impact and you will have goodwill. |Yogi Bhajan|36206";"La buena voluntad son dos palabras: buena y voluntad. La buena voluntad surge cuando estas agradecido. Grandioso y pleno. Cuando estas agradecido, eres exitoso; entonces tu personalidad tendrá impacto y tendrás buena voluntad.|Yogi Bhajan|36206";"Benevolenza è formata da due parole: bene e volere. La benevolenza si ha quando voi siete grati. Grandi e pieni (Yogi Bhajan si riferisce alle parole Great e Full). Quando voi siete grati, avete successo; quindi la vostra personalità sarà incisiva e voi avrete benevolenza.|Yogi Bhajan|36206";;;
Quote27;Text;Description (optional);You do not understand your features. Your features are not your beautiful nose, your beautiful cheeks, beautiful lips, and so on. These are not your features. Your features are your beautiful behavior, your beautiful character, your beautiful health, your beautiful spirit, your beautiful advice, your beautiful wisdom, your beautiful inspiration. |Yogi Bhajan|28723;Pareces no entender tus rasgos. Tus rasgos no son tu hermosa nariz, tus hermosas mejillas, tus hermosos labios, etc. Estos no son tus rasgos. Tus rasgos son tu hermoso comportamiento, tu hermoso carácter, tu hermosa salud, tu hermoso espíritu, tu hermoso consejo, tu hermosa sabiduría, tu hermosa inspiración. |Yogi Bhajan|28723;Voi non comprendete le vostre peculiarità. Le vostre peculiarità non sono il vostro bel naso, le vostre belle guance, belle labbra e così via. Queste non sono le vostre peculiarità. Le vostre peculiarità sono il vostro bel comportamento, il vostro bel carattere, la vostra bella salute, il vostro bello spirito, i vostri bei consigli, la vostra bella saggezza, la vostra bella ispirazione.|Yogi Bhajan|28723;;;
Quote28;Text;Description (optional);Your Self is the only conscious voice you have, deep within you. Develop the habit to listen to yourself whenever you are confronted with anything. Tell yourself, through a meditative mind, ‘I must listen to myself.’ It is the first step of friendship between the body and the soul. |Yogi Bhajan|36824;Tu Ser es la única voz consciente que tienes, profundamente dentro ti. Desarrolla el habito de escucharte a ti mismo siempre que estés confrontado a una situación. Dite a ti mismo, a través de tu mente meditativa “Debo de escucharme a mi”. Es el primer paso para una amistad entre el cuerpo y el alma. |Yogi Bhajan|36824;"Il vostro Sé è la sola voce consapevole che avete, nel profondo di voi. Sviluppate l'abitudine di ascoltare voi stessi ogni volta che dovete affrontare qualunque cosa. Dite a voi stessi, attraverso la mente meditativa, ""Io devo ascoltare me stesso"". È il primo passo dell'amicizia tra il corpo e l'anima.|Yogi Bhajan|36824";;;
Quote29;Text;Description (optional);The mind is your servant to master time and space and to always find a way to connect with the Infinite. To tap this intelligence in the mind, say to yourself: “I am Thee. Thou is Me. Me is Thou. I am Thee.” Play with it. Repeat it in rhythm. It has the naad. It penetrates the subconscious and reminds you that you are neither alone nor separated. Then the soul wondered, “What if I have forgotten all this? How can I remember?” Close your eyes and speak truthfully, and for God’s sake feel it. Speak it fearlessly and with your whole heart. -The Mind|Yogi Bhajan|The Mind;"La mente es tu sirviente para conquistar el tiempo y el espacio y para encontrar siempre una manera de conectarte con el infinito. Para acceder a esta inteligencia en tu mente, dite a ti mismo: “Yo soy El, El es yo, yo es Tu.” Juega con esto, Repítelo rítmicamente. Tiene el naad. Esto penetra al subconsciente y te recuerda que no estas solo ni estas separado. Enseguida el alma se preguntara; ?Y si he olvidado todo esto? ?Como puedo hacer para recordarlo?” Cierra entonces tus ojos y habla con la verdad, y por dios, ?Siéntelo! Dilo sin miedo y con todo tu corazón.- La Mente|Yogi Bhajan|The Mind";"La mente è il vostro servo per controllare spazio e tempo e per trovare sempre un modo per connettervi con l'Infinito. Per toccare questa intelligenza nella mente, dite a voi stessi: ""Io sono Te. Tu sei me. Me è Te. Io sono Te"". Giocate con questa frase. Ripetetela ritmicamente. Ha il naad (la corrente sonora). Penetra il subconscio e vi ricorda che non siete né da soli né separati. Poi l'anima si è chiesta, ""Cosa succede se ho dimenticato tutto questo? Come posso ricordare?"". Chiudete gli occhi e parlate sinceramente e, per amor di Dio, sentitelo. Ripetetelo senza timore e con tutto il cuore. - Libro ""La Mente""|Yogi Bhajan|The Mind";;;
Quote30;Text;Description (optional);The first role of the teacher is to be humble...the character, the courage, the grace, and the magnitude of a person is in practicing humility. One who cannot go under can never grow. The first power of the seed is to go under, and then grow.|Yogi Bhajan|35268;El primer rol de un maestro es ser humilde...el carácter, la valentía, la gracia y la magnitud de una persona se encuentran en su humildad. Aquel que no pueda ir por debajo, nunca podrá crecer hacia arriba. El primer poder de la semilla reside en que primero va por debajo de la tierra, y luego crece.|Yogi Bhajan|35268;Il primo ruolo dell'insegnante è quello di essere umile... il carattere, il coraggio, la grazia e la grandezza di una persona sono nel praticare l'umiltà. Colui che non può andare sotto, non può mai crescere. La prima forza del seme è di andare sotto e poi di crescere.|Yogi Bhajan|35268;;;
Quote31;Text;Description (optional);You have to walk on your own feet and you have to walk tall.  Humans learn to crawl and then walk. All men, women and children are children of God. They have to learn that their neurotic blocks have to be broken in two, to become triangles, and this challenge belongs to all of us. |Yogi Bhajan|34296;"Camina con tus propios pies, camina alto.
Los humanos aprenden primero a gatear y luego a caminar. Todos los hombres, mujeres y niños son hijos de Dios. Tienen que aprender que sus bloques neuróticos deben de partirse en dos, para convertirse en triángulos, y este reto nos pertenece a todos. 
|Yogi Bhajan|34296";Dovete camminare sui vostri piedi e dovete camminare a testa alta.  Gli esseri umani imparano a gattonare e poi a camminare. Tutti gli uomini, donne e bambini sono figli di Dio. Devono imparare che i loro blocchi nevrotici devono essere spezzati in due, per diventare triangoli, e questa sfida appartiene a tutti noi. |Yogi Bhajan|34296;;;
